id,status,name,company_id,company_name,employment_type,additional_apply_type,due_time,country,location,full_location,reward_total,reward_recommender,reward_recommendee,category_parent,category_children,url
374850,active,[Live-Ops] 게임 3D 디자이너(2년 이상),27043,슈퍼센트,regular,,,한국,서울,"서울 송파구 올림픽로 300, 롯데월드타워 9층 슈퍼센트","￦1,000,000","￦500,000","￦500,000",게임 제작,게임 그래픽 디자이너,https://www.wanted.co.kr/wd/374850?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374849,active,[SUNBURN PROJECT] 비주얼팀 디자이너 팀원,23096,코자,regular,,,한국,서울,서울 성동구 뚝섬로1길 63,"￦1,000,000","￦500,000","￦500,000",디자인,그래픽 디자이너;제품 디자이너,https://www.wanted.co.kr/wd/374849?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374843,active,PG(전자지급결제대행) 사업 기획/운영 매니저,5193,유핀테크허브(유트랜스퍼),regular,,,한국,서울,서울특별시 강남구 테헤란로 207 아가방빌딩,"￦1,000,000","￦500,000","￦500,000",경영·비즈니스,운영 매니저;사업개발·기획자,https://www.wanted.co.kr/wd/374843?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
363749,active,[피플앤컬처] HR 매니저,13711,윗유,regular,,,한국,서울,서울 강남구 선릉로132길 21,"￦1,000,000","￦500,000","￦500,000",HR,급여담당;인사담당;리크루터,https://www.wanted.co.kr/wd/363749?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
363270,active,[글로벌] 틱톡샵 어필리에이트 마케터,13711,윗유,regular,foreigner,2026-08-21,한국,서울,서울 강남구 선릉로132길 21,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,브랜드 마케터;글로벌 마케팅;마케터,https://www.wanted.co.kr/wd/363270?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
364152,active,[피플앤컬처] 커뮤니티 매니저(총무),13711,윗유,regular,,2026-08-26,한국,서울,서울 강남구 선릉로132길 21,"￦1,000,000","￦500,000","￦500,000",경영·비즈니스,운영 매니저;총무;오피스 관리,https://www.wanted.co.kr/wd/364152?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
364150,active,[크리에이터] 숏폼 크리에이터 광고기획자(AE),13711,윗유,regular,,2026-08-26,한국,서울,서울 강남구 선릉로132길 21,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,광고 기획자(AE);마케터;마케팅 전략 기획자,https://www.wanted.co.kr/wd/364150?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
371759,active,소셜 콘텐츠 매니저(신입~3년차),41565,림앤코,regular,,2026-07-19,한국,서울,마포구 서교동 444-3,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,광고 기획자(AE);글로벌 마케팅;브랜드 마케터,https://www.wanted.co.kr/wd/371759?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374671,active,패션 생산관리 시니어 매니저 (생산 MD),47104,두어스(ZVZO),regular,,,한국,서울,"서울 서초구 서초대로 398, 8층","￦1,000,000","￦500,000","￦500,000",제조·생산,섬유·의류·패션;생산 관리자,https://www.wanted.co.kr/wd/374671?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374445,active,VP of Engineering,43808,리아드코퍼레이션,regular,,,한국,서울,"서울 강남구 테헤란로 217, 오렌지플래닛","￦1,000,000","￦500,000","￦500,000",경영·비즈니스,사업개발·기획자;서비스 기획자,https://www.wanted.co.kr/wd/374445?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
284183,active,백엔드 엔지니어,1939,코드잇(codeit),regular,,,한국,서울,중구 청계천로 100 시그니쳐타워 동관 10층,"￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;DevOps / 시스템 관리자;소프트웨어 엔지니어,https://www.wanted.co.kr/wd/284183?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374834,active,[포카마켓] 상품 MD 파트장 (5년 이상),28982,인플루디오,regular,,,한국,서울,"서울 영등포구 영중로 15, A동 20층 2001호","￦1,000,000","￦500,000","￦500,000",고객서비스·리테일,MD,https://www.wanted.co.kr/wd/374834?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
373656,active,어카운트 매니저 (신입-2년 미만),1450,오픈서베이,regular,,,한국,서울,서울특별시 강남구 강남대로84길 13 KR타워,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,브랜드 마케터;마켓 리서처,https://www.wanted.co.kr/wd/373656?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374773,active,사업그룹 어카운트 매니저,1450,오픈서베이,regular,,,한국,서울,서울특별시 강남구 강남대로84길 13 KR타워,"￦1,000,000","￦500,000","￦500,000",마케팅·광고,마켓 리서처,https://www.wanted.co.kr/wd/374773?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
370551,active,SAP CO 모듈 운영,33684,대동애그테크,regular,,2026-07-26,한국,서울,"서울 서초구 효령로 347, 6층","￦1,000,000","￦500,000","￦500,000",개발,파이썬 개발자;자바 개발자,https://www.wanted.co.kr/wd/370551?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
372956,active,[AI Agent 스타트업] 그로스 마케터,10835,튜링,regular,alternative_military,,한국,서울,"서울 강남구 언주로85길 23-6, 3층","￦1,000,000","￦500,000","￦500,000",마케팅·광고,퍼포먼스 마케터;콘텐츠 마케터;CRM 마케터,https://www.wanted.co.kr/wd/372956?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374271,active,시니어 백엔드 엔지니어,43808,리아드코퍼레이션,regular,,,한국,서울,"서울 강남구 테헤란로 217, 오렌지플래닛","￦1,000,000","￦500,000","￦500,000",개발,DevOps / 시스템 관리자;Node.js 개발자,https://www.wanted.co.kr/wd/374271?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
374813,active,그래픽 디자이너,55503,니우스엔,regular,,,한국,서울,"서울 강남구 도산대로57길 18, 5층","￦1,000,000","￦500,000","￦500,000",디자인,그래픽 디자이너,https://www.wanted.co.kr/wd/374813?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
361321,active,"Software Engineer (백엔드, 파이썬)",50605,메딜리티,regular,,,한국,서울,"서울시 강남구 선릉로90길38, 현민타워 3층","￦1,000,000","￦500,000","￦500,000",개발,서버 개발자;DevOps / 시스템 관리자;파이썬 개발자,https://www.wanted.co.kr/wd/361321?client_id=x7eN3AyKUtFUcR2WIUFbWYfS
